Acquired Abnormality[a][b][c],Acquired Abnormality[a][b][c]
Activity,Activity
Age Group,Age Group
Amino Acid Sequence,Amino Acid Sequence
"Amino Acid, Peptide, or Protein","Amino Acid, Peptide, or Protein"
Amphibian,Amphibian
Anatomical Abnormality,Anatomical Abnormality
Anatomical Structure,Anatomical Structure
Animal,Animal
Antibiotic,Antibiotic
Archaeon,Archaeon
Bacterium,Bacterium
Behavior,Behavior
Biologic Function,Biologic Function
Biologically Active Substance,Biologically Active Substance
Biomedical Occupation or Discipline,Biomedical Occupation or Discipline
Biomedical or Dental Material,Biomedical or Dental Material
Bird,Bird
Body Location or Region,Body Location or Region
"Body Part, Organ, or Organ Component","Body Part, Organ, or Organ Component"
Body Space or Junction,Body Space or Junction
Body Substance,Body Substance
Body System,Body System
Carbohydrate Sequence,Carbohydrate Sequence
Cell,Cell
Cell Component,Cell Component
Cell Function,Cell Function
Cell or Molecular Dysfunction,Cell or Molecular Dysfunction
Chemical,Chemical
Chemical Viewed Functionally,Chemical Viewed Functionally
Chemical Viewed Structurally,Chemical Viewed Structurally
Classification,Classification
Clinical Attribute,Clinical Attribute
Clinical Drug,Clinical Drug
Conceptual Entity,Conceptual Entity
Congenital Abnormality,Congenital Abnormality
Daily or Recreational Activity,Daily or Recreational Activity
Diagnostic Procedure,Diagnostic Procedure
Disease or Syndrome,Disease or Syndrome
Drug Delivery Device,Drug Delivery Device
Educational Activity,Educational Activity
"Element, Ion, or Isotope","Element, Ion, or Isotope"
Embryonic Structure,Embryonic Structure
Entity,Entity
Environmental Effect of Humans,Environmental Effect of Humans
Enzyme,Enzyme
Eukaryote,Eukaryote
Event,Event
Experimental Model of Disease,Experimental Model of Disease
Family Group,Family Group
Finding,Finding
Fish,Fish
Food,Food
Fully Formed Anatomical Structure,Fully Formed Anatomical Structure
Functional Concept,Functional Concept
Fungus,Fungus
Gene or Genome,Gene or Genome
Genetic Function,Genetic Function
Geographic Area,Geographic Area
Governmental or Regulatory Activity,Governmental or Regulatory Activity
Group,Group
Group Attribute,Group Attribute
Hazardous or Poisonous Substance,Hazardous or Poisonous Substance
Health Care Activity,Health Care Activity
Health Care Related Organization,Health Care Related Organization
Hormone,Hormone
Human,Human
Human-caused Phenomenon or Process,Human-caused Phenomenon or Process
Idea or Concept,Idea or Concept
Immunologic Factor,Immunologic Factor
"Indicator, Reagent, or Diagnostic Aid","Indicator, Reagent, or Diagnostic Aid"
Individual Behavior,Individual Behavior
Injury or Poisoning,Injury or Poisoning
Inorganic Chemical,Inorganic Chemical
Intellectual Product,Intellectual Product
Laboratory Procedure,Laboratory Procedure
Laboratory or Test Result,Laboratory or Test Result
Language,Language
Machine Activity,Machine Activity
Mammal,Mammal
Manufactured Object,Manufactured Object
Medical Device,Medical Device
Mental Process,Mental Process
Mental or Behavioral Dysfunction,Mental or Behavioral Dysfunction
Molecular Biology Research Technique,Molecular Biology Research Technique
Molecular Function,Molecular Function
Molecular Sequence,Molecular Sequence
Natural Phenomenon or Process,Natural Phenomenon or Process
Neoplastic Process,Neoplastic Process
"Nucleic Acid, Nucleoside, or Nucleotide","Nucleic Acid, Nucleoside, or Nucleotide"
Nucleotide Sequence,Nucleotide Sequence
Occupation or Discipline,Occupation or Discipline
Occupational Activity,Occupational Activity
Organ or Tissue Function,Organ or Tissue Function
Organic Chemical,Organic Chemical
Organism,Organism
Organism Attribute,Organism Attribute
Organism Function,Organism Function
Organization,Organization
Pathologic Function,Pathologic Function
Patient or Disabled Group,Patient or Disabled Group
Pharmacologic Substance,Pharmacologic Substance
Phenomenon or Process,Phenomenon or Process
Physical Object,Physical Object
Physiologic Function,Physiologic Function
Plant,Plant
Population Group,Population Group
Professional or Occupational Group,Professional or Occupational Group
Qualitative Concept,Qualitative Concept
Quantitative Concept,Quantitative Concept
Receptor,Receptor
Reptile,Reptile
Research Activity,Research Activity
Research Device,Research Device
Self-help or Relief Organization,Self-help or Relief Organization
Sign or Symptom,Sign or Symptom
Behavior Sign or Symptom,Behavior Sign or Symptom
Social Behavior,Social Behavior
Spatial Concept,Spatial Concept
Substance,Substance
Temporal Concept,Temporal Concept
Therapeutic or Preventive Procedure,Therapeutic or Preventive Procedure
Tissue,Tissue
Vertebrate,Vertebrate
Virus,Virus
Vitamin,Vitamin
